shape_id,shape_pt_lon,shape_pt_lat,shape_pt_sequence,shape_dist_traveled
133289,-122.394796,37.722868,1,0
133289,-122.393182,37.722037,2,170
133289,-122.391316,37.720975,3,372
133289,-122.389461,37.71993,4,573
133289,-122.390023,37.719297,5,659
133289,-122.388146,37.718243,6,862
133289,-122.386852,37.717511,7,1002
133289,-122.387918,37.716333,8,1163
133289,-122.388136,37.716298,9,1183
133289,-122.389143,37.716878,10,1293
133289,-122.389281,37.716967,11,1309
133289,-122.390208,37.717503,12,1410
133289,-122.391147,37.718039,13,1512
133289,-122.390573,37.71869,14,1600
133289,-122.390023,37.719297,15,1683
133289,-122.391878,37.72035,16,1884
133289,-122.393744,37.721413,17,2086
133289,-122.395461,37.722386,18,2272
133289,-122.395633,37.722431,19,2288
133289,-122.39663,37.720236,20,2548
133289,-122.397308,37.720595,21,2620
133289,-122.398242,37.721125,22,2721
133289,-122.398339,37.721148,23,2730
133289,-122.399019,37.721307,24,2792
133289,-122.399938,37.721522,25,2876
133289,-122.400786,37.72362,26,3121
133289,-122.402069,37.723924,27,3239
133289,-122.401623,37.722835,28,3366
133289,-122.401428,37.722371,29,3420
133289,-122.401131,37.721675,30,3502
133289,-122.401074,37.721541,31,3518
133289,-122.402059,37.721283,32,3609
133289,-122.403044,37.721024,33,3700
133289,-122.404018,37.720766,34,3790
133289,-122.405014,37.720516,35,3882
133289,-122.406045,37.72024,36,3978
133289,-122.407007,37.719991,37,4067
133289,-122.407981,37.719741,38,4157
133289,-122.408978,37.719474,39,4250
133289,-122.409963,37.719224,40,4341
133289,-122.410948,37.718957,41,4433
133289,-122.411681,37.718761,42,4501
133289,-122.414178,37.718128,43,4732
133289,-122.414453,37.718048,44,4758
133289,-122.41475,37.718003,45,4785
133289,-122.41514,37.718048,46,4820
133289,-122.418518,37.718772,47,5128
133289,-122.419251,37.718906,48,5194
133289,-122.419514,37.718941,49,5217
133289,-122.419732,37.71895,50,5236
133289,-122.420133,37.718941,51,5271
133289,-122.420522,37.718879,52,5306
133289,-122.4209,37.718763,53,5342
133289,-122.421187,37.718638,54,5371
133289,-122.421439,37.718487,55,5399
