AP_ID,X_COORDINATE,Y_COORDINATE,Z_COORDINATE
9,1696306,259247,21
11,1697337,259292,8
12,1697773,261665,76
14,1697181,261181,21
15,1697716,260425,8
16,1698295,261388,60
17,1697800,261537,74
18,1697850,261510,76
19,1697632,260411,8
20,1696233,260940,3
23,1697849,260370,8
24,1696306,259298,21
26,1696398,260163,0
27,1697983,259999,8
28,1696547,261535,0
29,1697132,260955,0
30,1697432,260954,13
31,1695281,261754,8
32,1697513,260573,8
33,1696561,261193,21
34,1697183,260937,13
35,1696412,260694,0
36,1697388,260867,0
37,1695351,261892,8
38,1696403,260728,0
39,1697313,260410,0
41,1695331,261678,8
42,1697434,260902,13
43,1697238,260982,13
44,1695654,259086,0
45,1697282,260960,0
46,1697193,260517,0
48,1697896,259186,8
49,1698166,261271,8
53,1697849,260375,8
54,1697834,260436,0
56,1696319,259298,60
59,1697750,260827,8
61,1695780,259563,34
62,1695957,262437,8
63,1696068,258821,0
64,1697363,260812,13
65,1697360,260829,0
66,1697126,260958,8
67,1697289,260715,42
68,1697380,260866,0
69,1696509,260625,0
70,1695983,258684,8
71,1696427,260644,0
72,1697126,260703,8
73,1697439,260701,13
74,1698475,262402,8
79,1696319,259298,37
85,1697747,260796,10
86,1696048,260591,21
87,1695264,261922,8
90,1698008,259945,8
91,1695500,262114,0
92,1697950,259968,8
93,1697989,259945,8
94,1696573,260170,8
95,1696425,260031,8
102,1697201,260475,0
104,1697215,260574,8
119,1697727,260849,8
120,1698003,260397,10
121,1696014,260762,60
122,1695990,260672,60
123,1696482,261480,0
125,1696861,261201,8
127,1695282,264641,0
128,1696011,261804,21
132,1697184,260410,8
133,1696471,260145,8
135,1696464,259085,8
136,1696433,260166,8
137,1696471,260145,8
138,1696433,260166,8
140,1697741,261198,8
141,1697727,261252,0
142,1698562,261358,8
143,1697823,261266,0
144,1698584,261321,8
146,1697775,260807,0
152,1697009,261367,21
153,1697132,261212,8
154,1697015,261176,21
155,1697284,261383,8
156,1696832,261494,8
159,1696864,261413,8
162,1697317,259284,0
163,1696823,261362,21
169,1696862,260122,8
170,1697141,260128,3
171,1697800,259192,8
172,1696879,260201,8
173,1697288,260274,3
174,1697160,259971,3
175,1697125,260182,23
176,1695997,260524,8
177,1697843,261476,0
178,1696882,260066,8
179,1697303,260002,8
180,1697142,260069,3
181,1697220,260261,3
182,1697141,260181,3
183,1697125,260128,23
184,1697142,260081,3
185,1697124,260074,23
189,1697919,261482,8
191,1695965,259331,36
192,1696219,261257,34
193,1697176,259357,8
194,1698148,261198,8
195,1698084,261201,8
196,1698038,261270,8
197,1698104,261221,8
198,1698096,261253,8
200,1698017,261278,8
201,1698149,261187,8
244,1696487,261466,0
249,1696210,262018,8
256,1697116,261319,99
257,1697158,261385,73
258,1697038,261429,99
259,1696997,261384,73
260,1697065,261293,73
261,1697121,261382,60
262,1697090,261452,73
263,1697136,261383,39
264,1697040,261316,86
265,1696999,261409,60
266,1697118,261429,86
267,1697018,261359,47
269,1692384,256340,8
278,1698143,260653,8
282,1703679,256890,13
288,1697343,260469,8
310,1698177,260502,22
311,1698118,260495,10
319,1696584,261097,21
350,1696489,261341,3
351,1697156,260004,25
352,1698584,259998,20
353,1698629,260163,20
354,1698488,260088,20
355,1698570,260354,0
356,1698494,260065,20
357,1698623,260239,0
358,1698730,260046,20
359,1698640,260006,20
360,1698522,260349,0
361,1698721,260102,20
362,1698671,260163,20
363,1698595,260253,20
364,1698497,260009,20
365,1698440,260411,20
369,1698314,260408,20
370,1696356,262512,8
371,1696356,262672,8
376,1695519,259445,21
383,1698318,260664,8
386,1695958,261796,21
388,1695955,261639,8
395,1698505,260844,8
402,1699365,260166,8
426,1696204,262664,21
427,1696201,262664,60
428,1696039,262397,8
439,1696415,262686,47
440,1696199,262661,34
441,1696399,262621,-5
442,1696415,262689,21
443,1699499,261765,0
459,1697251,260254,25
461,1697738,261492,8
462,1697325,260237,25
472,1696447,261288,3
479,1695952,259380,34
481,1696270,261304,0
483,1696047,260601,47
484,1695918,260602,73
485,1695955,261712,21
488,1697185,260352,8
489,1695908,260609,21
490,1696047,260601,60
491,1695915,260600,60
493,1696483,258951,8
494,1696015,260671,34
495,1696024,260589,61
496,1695920,260601,47
497,1696047,260601,34
498,1696015,260671,47
499,1695907,260609,34
500,1696014,260770,47
501,1696508,259942,8
503,1696272,259858,0
504,1696047,260601,73
505,1696045,260598,8
506,1695927,259453,21
