nbFacilities, deadline, successRatio, storage score, total requests, success requests, fail requests, total files, fetch counter, total storage score
1,60.0,0.01782322047156107,0.0,17997,319,17579,186,0,0
2,60.0,0.02677435415168446,0.2773972602739726,18196,484,17593,292,81,81
3,60.0,0.0389631386074585,0.4166666666666667,18657,723,17833,480,200,200
4,60.0,0.04980532121998702,0.5727611940298507,18590,921,17571,536,307,307
5,60.0,0.06239649553929163,0.6692546583850931,18794,1168,17551,644,431,431
6,60.0,0.07227570068606073,0.7363636363636363,18904,1359,17444,770,567,567
7,60.0,0.09289188765102778,0.7271028037383177,19216,1776,17343,1070,778,778
8,60.0,0.10832946994282182,0.7901639344262295,19501,2103,17310,1220,964,964
9,60.0,0.12543751286802554,0.8064066852367688,19513,2437,16991,1436,1158,1158
10,60.0,0.1317984139166027,0.8435419440745673,19628,2576,16969,1502,1267,1267
11,60.0,0.14180666904968595,0.8581818181818182,19685,2777,16806,1650,1416,1416
12,60.0,0.17363522012578617,0.9056974459724951,19937,3451,16424,2036,1844,1844
13,60.0,0.176620393488465,0.8873957367933272,20097,3537,16489,2158,1915,1915
14,60.0,0.1716117489190398,0.9468190854870775,20204,3453,16668,2012,1905,1905
15,60.0,0.20626644343458503,0.9365264797507789,20987,4312,16593,2568,2405,2405
16,60.0,0.21743520700100977,0.9544776119402985,20890,4522,16275,2680,2558,2558
17,60.0,0.22304779253151816,0.9167837078651685,20932,4653,16208,2848,2611,2611
18,60.0,0.24856113424734452,1.0117416829745598,21446,5312,16059,3066,3102,3102
19,60.0,0.2534249777902464,0.9544906570223026,21453,5420,15967,3318,3167,3167
20,60.0,0.2731040979745643,0.9890300230946882,21303,5798,15432,3464,3426,3426
25,60.0,0.33396601191789893,1.029964221824687,22697,7566,15089,4472,4606,4606
40,60.0,0.21402096369216053,0.9644670050761421,25193,5370,19721,3152,3040,3040
50,60.0,0.2635716404627707,0.9683278993945039,27051,7108,19860,4294,4158,4158
100,60.0,0.5447950059051797,1.0754910333048677,35546,19374,16188,11710,12594,12594
30,60.0,0.40189736955584304,1.03584229390681,23209,9320,13870,5580,5780,5780
35,60.0,0.46512393971835625,1.0805379268661226,24293,11296,12990,6618,7151,7151
45,60.0,0.21976627969554854,1.0009096422073984,26087,5717,20297,3298,3301,3301
60,60.0,0.32867473230426925,0.9749128919860627,28823,9454,19310,5740,5596,5596
70,60.0,0.3210128247287077,1.0293199167244969,30499,9762,20648,5764,5933,5933
80,60.0,0.3816722946807522,1.0476586311997784,32350,12320,19959,7218,7562,7562
90,60.0,0.4421203942736447,1.0663576757856659,34104,15071,19017,8846,9433,9433
110,60.0,0.5913208842872613,1.1121052631578947,37866,22388,15473,13300,14791,14791
120,60.0,0.6711593027969194,1.1120973877758051,39488,26492,12980,15772,17540,17540
130,60.0,0.68324657798342,1.1199904863836365,41464,28352,13144,16818,18836,18836
140,60.0,0.7419520268537728,1.1214278182009914,42920,31829,11070,18966,21269,21269
150,60.0,0.7842704075996907,1.1153411764705883,45245,35500,9765,21250,23701,23701
1,120.0,0.019555192341369446,0.0,17317,335,16796,180,0,0
2,120.0,0.06258426966292135,0.2545731707317073,18014,1114,16686,656,167,167
3,120.0,0.07664013175953883,0.44794188861985473,18399,1396,16819,826,370,370
4,120.0,0.09304975313330802,0.5213592233009708,18647,1715,16716,1030,537,537
5,120.0,0.13407940314415134,0.6266666666666667,18940,2516,16249,1500,940,940
6,120.0,0.15733544805709754,0.6709641255605381,19073,2976,15939,1784,1197,1197
7,120.0,0.193792383933229,0.7520398912058024,19337,3715,15455,2206,1659,1659
8,120.0,0.21685286677908938,0.7888978930307942,19144,4115,14861,2468,1947,1947
9,120.0,0.234651833539349,0.8030634573304157,19586,4556,14860,2742,2202,2202
10,120.0,0.2651546180626664,0.815607300188798,19706,5179,14353,3178,2592,2592
11,120.0,0.29437468608739326,0.8585600907029478,20097,5861,14049,3528,3029,3029
12,120.0,0.28396302250803857,0.9386937769562539,20055,5652,14252,3246,3047,3047
13,120.0,0.33550634486190595,0.9180861723446894,20241,6742,13353,3992,3665,3665
14,120.0,0.34672179562906086,0.9144208037825059,20482,7044,13272,4230,3868,3868
15,120.0,0.3573443579766537,0.9174910071942446,20737,7347,13213,4448,4081,4081
16,120.0,0.39227907426197034,0.9982839982839983,20862,8119,12578,4662,4654,4654
17,120.0,0.4133871510258998,0.9708186447316882,20959,8603,12208,5106,4957,4957
18,120.0,0.4755701879950377,0.9616528925619835,21120,9967,10991,6050,5818,5818
19,120.0,0.44560450038138827,0.9718560741004632,21129,9347,11629,5614,5456,5456
20,120.0,0.5021236432279377,0.9822215229704216,21326,10640,10550,6356,6243,6243
25,120.0,0.5984036590287432,1.0355962369692346,22431,13345,8956,7866,8146,8146
40,120.0,0.413019302565732,0.9335653274280291,25358,10399,14779,6322,5902,5902
50,120.0,0.5159068792574294,0.9568032015065914,26926,13784,12934,8496,8129,8129
100,120.0,0.7558035962812448,1.0886293792255686,36100,27153,8773,16270,17712,17712
30,120.0,0.685599246123533,1.0453593128011733,23472,16006,7340,9546,9979,9979
35,120.0,0.7917490118577075,1.0529503374286209,24401,19230,5058,11558,12170,12170
45,120.0,0.35860766324878574,0.9244165170556553,26132,9303,16639,5570,5149,5149
60,120.0,0.48230535894843274,0.9903451605117065,28872,13833,14848,8286,8206,8206
70,120.0,0.614612565617881,1.002840404757678,30443,18616,11673,11266,11298,11298
80,120.0,0.7217101815603711,1.0361753440204284,32604,23413,9028,14098,14608,14608
90,120.0,0.7551345609065155,1.0363319566339702,34085,25590,8298,15496,16059,16059
110,120.0,0.8826797820018609,1.092755214050494,37726,33202,4413,20042,21901,21901
120,120.0,0.8705979941180907,1.109638087865299,39950,34635,5148,20668,22934,22934
130,120.0,0.897077694114229,1.1199564783751927,41438,37052,4251,22058,24704,24704
