1,1000.0,0.11298916038949108,0.0,17843,1845,14484,1266,579,579,0.0,0.0
2,1000.0,0.1317656717293145,0.0,18690,2247,14806,1581,666,664,0.0,0.0
3,1000.0,0.0,NaN,5541,0,5047,0,0,0,NaN,NaN
4,1000.0,0.5267321016166282,0.8163047347810609,18547,9123,8197,6314,2809,2802,0.0,0.0
5,1000.0,0.31210117849956887,0.8514106583072101,18782,5429,11966,3834,1595,1594,0.0,0.0
10,1000.0,0.6827740016992353,1.5972732039853172,19836,12858,5974,9044,3814,3792,0.0,0.0
15,1000.0,0.8263871516485716,1.649736948603804,20833,16517,3470,11575,4942,4941,0.0,0.0
20,1000.0,0.9242935169793398,1.7930093776641092,21590,19461,1594,13596,5865,5820,0.0,0.0
25,1000.0,0.9423314003926762,1.8883856357165967,22471,20638,1263,14456,6182,6143,0.0,0.0
40,1000.0,0.9604315065672994,2.0190763052208833,24861,23326,961,16354,6972,6970,0.0,0.0
45,1000.0,0.9816998619601657,2.1196120689655173,25765,24891,464,17467,7424,7415,0.0,0.0
50,1000.0,0.9970521541950114,2.0340495037064956,26831,26382,78,18423,7959,7954,0.0,0.0
75,1000.0,0.9929853915953407,2.13869640537029,31474,30860,218,21624,9236,9230,0.0,0.0
100,1000.0,1.0,2.1994058670627554,35923,35776,0,25004,10772,10761,0.0,0.0
125,1000.0,1.0,2.175228310502283,40517,40405,0,28141,12264,12250,0.0,0.0
150,1000.0,1.0,2.2377627571863625,45025,44897,0,31434,13463,13441,0.0,0.0
1,500.0,0.08291139240506329,0.0,18199,1441,15939,1003,438,438,0.0,0.0
2,500.0,0.1348620728800091,0.0,18395,2376,15242,1663,713,713,0.0,0.0
3,500.0,0.2707303370786517,0.8076923076923077,18573,4819,12981,3337,1482,1478,0.0,0.0
4,500.0,0.3232261300930829,0.8318739054290718,18566,5799,12142,4086,1713,1704,0.0,0.0
5,500.0,0.36007338225483654,1.1753048780487805,18742,6477,11511,4509,1968,1965,0.0,0.0
10,500.0,0.4371817084055232,1.5538897893030794,19689,8327,10720,5859,2468,2467,0.0,0.0
15,500.0,0.5269574776395343,1.5592948717948718,20721,10546,9467,7426,3120,3116,0.0,0.0
20,500.0,0.7512047623547198,1.7742803893145578,21686,15900,5266,11071,4829,4827,0.0,0.0
25,500.0,0.8410061045577638,1.8443135154436707,22213,18323,3464,12722,5601,5599,0.0,0.0
40,500.0,0.9229156587647154,2.007393447376051,25163,22892,1912,15994,6898,6876,0.0,0.0
45,500.0,0.9611487147384483,2.1305898491083677,25917,24566,993,17276,7290,7285,0.0,0.0
50,500.0,0.9352744807121661,2.118596208148447,27308,25215,1745,17778,7437,7429,0.0,0.0
75,500.0,0.9794158196800153,2.132775119617225,31478,30547,642,21351,9196,9189,0.0,0.0
100,500.0,0.9980482908604249,2.2264026402640265,36022,35796,70,25191,10605,10597,0.0,0.0
125,500.0,0.9710920770877944,2.174265710382514,40468,39001,1161,27289,11712,11703,0.0,0.0
150,500.0,0.9969435892892737,2.2118011963665904,45300,45013,138,31472,13541,13508,0.0,0.0
1,200.0,0.06439480282653294,0.0,17897,1130,16418,798,332,331,0.0,0.0
2,200.0,0.035303406271148204,0.0,18055,626,17106,426,200,199,0.0,0.0
3,200.0,0.10893403840801559,0.8041074249605056,18309,1957,16008,1324,633,633,0.0,0.0
4,200.0,0.09241122722547464,0.5326315789473685,18634,1689,16588,1214,475,474,0.0,0.0
5,200.0,0.19623259623259623,1.1790510295434198,18621,3594,14721,2477,1117,1116,0.0,0.0
10,200.0,0.24163644721385158,1.4488636363636365,19892,4731,14848,3323,1408,1405,0.0,0.0
15,200.0,0.3431420953885652,1.65478515625,20601,6950,13304,4902,2048,2046,0.0,0.0
20,200.0,0.44558330227357434,1.7400135409614084,21705,9564,11900,6610,2954,2935,0.0,0.0
25,200.0,0.5134116802727191,1.8866491381828805,22550,11446,10848,8023,3423,3419,0.0,0.0
40,200.0,0.6409722500300324,2.054375,25149,16007,8966,11207,4800,4790,0.0,0.0
45,200.0,0.7608544767486697,2.1340381991814463,26117,19732,6202,13868,5864,5836,0.0,0.0
50,200.0,0.6926487574052684,2.01073187895848,27073,18590,8249,12906,5684,5676,0.0,0.0
75,200.0,0.8871188273077045,2.165104542177361,31599,27899,3550,19577,8322,8314,0.0,0.0
100,200.0,0.8971422186216722,2.157531423861529,35986,32115,3682,22409,9706,9687,0.0,0.0
125,200.0,0.9403040141676505,2.192477302204929,40791,38229,2427,26664,11565,11545,0.0,0.0
150,200.0,0.9679785489518238,2.2278683528873993,45202,43681,1445,30555,13126,13108,0.0,0.0
1,120.0,0.023221816137194266,0.0,18014,413,17372,295,118,118,0.0,0.0
2,120.0,0.02463711695678772,0.0,18192,443,17538,336,107,107,0.0,0.0
3,120.0,0.0801763553233181,0.8674418604651163,18569,1473,16899,1043,430,430,0.0,0.0
4,120.0,0.08422186322024772,0.9211136890951276,18753,1564,17006,1133,431,430,0.0,0.0
5,120.0,0.10612355004046399,1.2209677419354839,18726,1967,16568,1347,620,619,0.0,0.0
10,120.0,0.19239748274462037,1.56875,19852,3791,15913,2671,1120,1119,0.0,0.0
15,120.0,0.27572674418604654,1.7023878858474082,20853,5691,14949,3974,1717,1716,0.0,0.0
20,120.0,0.29362337783586967,1.7803191489361703,21582,6290,15132,4410,1880,1875,0.0,0.0
25,120.0,0.4040546496253856,1.9172740524781342,22842,9168,13522,6424,2744,2733,0.0,0.0
40,120.0,0.5830243748520944,2.067027758970887,25465,14782,10572,10351,4431,4425,0.0,0.0
45,120.0,0.5206193528457796,2.0217444417297825,26075,13483,12415,9390,4093,4086,0.0,0.0
50,120.0,0.6323818154357348,2.0710609659540777,26595,16748,9736,11696,5052,5040,0.0,0.0
75,120.0,0.8076752580583877,2.138533178114086,31639,25508,6074,17777,7731,7714,0.0,0.0
100,120.0,0.8369179135785205,2.214004277834065,35826,29924,5831,21041,8883,8865,0.0,0.0
125,120.0,0.9003054155389467,2.209946779225546,40341,36258,4015,25360,10898,10866,0.0,0.0
150,120.0,0.9203443608688899,2.2943371734544864,45035,41479,3590,29153,12326,12258,0.0,0.0
1,60.0,0.0,NaN,5504,0,5476,0,0,0,NaN,NaN
2,60.0,0.012899193090123877,0.0,17694,227,17371,159,68,68,0.0,0.0
3,60.0,0.029165974874093753,0.5639097744360902,18143,527,17542,394,133,132,0.0,0.0
4,60.0,0.04427140056632542,0.875968992248062,18467,813,17551,555,258,255,0.0,0.0
5,60.0,0.05818566516794499,0.5859872611464968,19017,1100,17805,786,314,314,0.0,0.0
10,60.0,0.10324184465526863,1.513745704467354,19795,2035,17676,1453,582,575,0.0,0.0
15,60.0,0.1732268026077153,1.6813186813186813,20486,3534,16867,2442,1092,1087,0.0,0.0
20,60.0,0.3355118808645722,1.9292833412434742,21489,7187,14234,5080,2107,2103,0.0,0.0
25,60.0,0.28019815117873415,1.923439958049292,22660,6335,16274,4428,1907,1890,0.0,0.0
40,60.0,0.38704825238491075,2.1102966841186737,25322,9778,15485,6913,2865,2855,0.0,0.0
45,60.0,0.5174025572681269,2.0370098039215687,25921,13394,12493,9314,4080,4063,0.0,0.0
50,60.0,0.4517931825752248,2.04314789687924,27103,12207,14812,8522,3685,3674,0.0,0.0
75,60.0,0.6337740307849524,2.1126387278449563,31356,19846,11468,13809,6037,6025,0.0,0.0
100,60.0,0.7962219993313273,2.2000697107005927,35881,28578,7314,19971,8607,8587,0.0,0.0
125,60.0,0.7298791018998273,2.200583025002803,40524,29582,10948,20663,8919,8887,0.0,0.0
150,60.0,0.8317477213758233,2.2476884779516357,45049,37506,7587,26258,11248,11202,0.0,0.0
