nbFacilities, deadline, successRatio, storage score, total requests, success requests, fail requests, total files, fetch counter, total storage score
1,1000.0,0.26974039210983874,0.0,18178,4499,12180,2720,0,0
2,1000.0,0.4341700213118636,0.25639300134589504,18176,7334,9558,4458,1143,1143
3,1000.0,0.5190853019899918,0.40106071689831746,18354,8921,8265,5468,2193,2193
4,1000.0,0.6488510346404481,0.5229251305861868,18559,11351,6143,6892,3604,3604
5,1000.0,0.6950127170186885,0.604398516163222,19104,12570,5516,7548,4562,4562
6,1000.0,0.7715349652264388,0.6808104886769965,19090,14089,4172,8390,5712,5712
8,1000.0,0.8326458456098998,0.7526058285471177,19452,15543,3124,9402,7076,7076
9,1000.0,0.8799084814302437,0.7964041783848935,19557,16537,2257,9956,7929,7929
10,1000.0,0.8650606203747442,0.8101582849128431,19835,16482,2571,9982,8087,8087
11,1000.0,0.8994384359400999,0.8371870819797439,20060,17298,1934,10466,8762,8762
12,1000.0,0.9204690288044863,0.8832804627729054,20309,18055,1560,10718,9467,9467
13,1000.0,0.9088875330486069,0.9041005291005291,20252,17876,1792,10584,9569,9569
14,1000.0,0.9381370826010544,0.9082221420843851,20525,18683,1232,11092,10074,10074
15,1000.0,0.9606532663316583,0.9065266446797431,20440,19117,783,11522,10445,10445
16,1000.0,0.961365286855483,0.9170671085335542,21141,19857,798,12070,11069,11069
17,1000.0,0.9701404865632189,0.9428763440860215,20904,19819,610,11904,11224,11224
18,1000.0,0.9713521772345302,0.9477332028701891,21452,20344,600,12264,11623,11623
19,1000.0,0.9748913568324481,0.974758413862046,21212,20190,520,12004,11701,11701
20,1000.0,0.9810832431414992,0.9669585987261147,21624,20849,402,12560,12145,12145
25,1000.0,0.9901453224341508,1.0064855791240652,22479,21803,217,13106,13191,13191
40,1000.0,0.9972771682549851,1.0682795698924732,25230,24906,68,14880,15896,15896
50,1000.0,0.9986611625571795,1.0807133093078165,27125,26853,36,16094,17393,17393
100,1000.0,0.9995013850415513,1.113561190738699,36260,36082,18,21768,24240,24240
1,500.0,0.13742452392011148,0.0,18099,2367,14857,1386,0,0
2,500.0,0.23764559538618116,0.26881720430107525,18351,4203,13483,2604,700,700
3,500.0,0.3220889835257201,0.4347326049453709,18578,5748,12098,3478,1512,1512
4,500.0,0.4043197972340074,0.5389016018306636,18802,7338,10811,4370,2355,2355
5,500.0,0.45121685037651427,0.6067769897557131,18909,8269,10057,5076,3080,3080
6,500.0,0.5127130179125605,0.6587849499482223,18955,9417,8950,5794,3817,3817
7,500.0,0.5557114336588788,0.7365328109696376,19148,10299,8234,6126,4512,4512
8,500.0,0.61161407832003,0.7810930576070901,19257,11417,7250,6770,5288,5288
9,500.0,0.6630854281839992,0.8051931106471816,19740,12714,6460,7664,6171,6171
10,500.0,0.6529887757765597,0.8185409533842507,19738,12508,6647,7594,6216,6216
11,500.0,0.6997855611150822,0.8524689856482608,20155,13706,5880,8222,7009,7009
12,500.0,0.7311552642359689,0.885710922787194,20045,14278,5250,8496,7525,7525
13,500.0,0.7523656936864768,0.9125905797101449,20439,15027,4946,8832,8060,8060
14,500.0,0.7818882659191029,0.8895324347093513,20474,15619,4357,9496,8447,8447
15,500.0,0.8135185548792461,0.9074185162967406,20839,16573,3799,10002,9076,9076
16,500.0,0.8387221310684297,0.9386692381870781,21145,17380,3342,10370,9734,9734
17,500.0,0.7995331193463671,0.9461491566754725,20991,16440,4122,9842,9312,9312
18,500.0,0.8499083630751423,0.9825019334880124,21125,17622,3112,10344,10163,10163
19,500.0,0.8643506247633472,0.9410971223021583,21535,18262,2866,11120,10465,10465
20,500.0,0.8841483426320972,1.0006272401433691,21700,18858,2471,11160,11167,11167
25,500.0,0.929778933680104,1.004880780924948,22630,20735,1566,12498,12559,12559
40,500.0,0.9785366246526799,1.0591825538334934,25133,24300,533,14582,15445,15445
50,500.0,0.9881987112243369,1.0558038485412786,26959,26377,315,16110,17009,17009
100,500.0,0.9985220713309724,1.125395790650028,36010,35808,53,21476,24169,24169
1,250.0,0.07177141566435145,0.0,18117,1271,16438,796,0,0
2,250.0,0.12662775033677592,0.2691197691197691,18170,2256,15560,1386,373,373
3,250.0,0.17327418907679512,0.43509865005192105,18374,3125,14910,1926,838,838
4,250.0,0.22107325568738434,0.5470833333333334,18747,4062,14312,2400,1313,1313
5,250.0,0.2550472508591065,0.595679012345679,18985,4750,13874,2916,1737,1737
6,250.0,0.2993186415415735,0.6713286713286714,19129,5623,13163,3432,2304,2304
7,250.0,0.32657824933687,0.751219512195122,19228,6156,12694,3690,2772,2772
8,250.0,0.37583148558758317,0.7748948106591865,19295,7119,11823,4278,3315,3315
9,250.0,0.41146649942510716,0.7891993327773145,19476,7873,11261,4796,3785,3785
10,250.0,0.42602119559625473,0.8568181818181818,19800,8281,11157,4840,4147,4147
11,250.0,0.4508083847605447,0.8284658040665435,19946,8839,10768,5410,4482,4482
12,250.0,0.48625274945011,0.855245460659045,20336,9727,10277,5948,5087,5087
13,250.0,0.5220293054997993,0.8900190718372537,20242,10403,9525,6292,5600,5600
14,250.0,0.5632553992470775,0.9213416444048679,20533,11371,8817,6738,6208,6208
15,250.0,0.581774771189813,0.9159771754636234,20406,11696,8408,7010,6421,6421
16,250.0,0.5981907090464548,0.897132333596422,20713,12233,8217,7602,6820,6820
17,250.0,0.5896397048184054,0.9124833997343957,21071,12225,8508,7530,6871,6871
18,250.0,0.6164783607813098,0.9692368629522049,21134,12877,8011,7574,7341,7341
19,250.0,0.6554705215419501,0.9784723911457066,21480,13875,7293,8222,8045,8045
20,250.0,0.6705986986846417,0.9674289674289674,21607,14326,7037,8658,8376,8376
25,250.0,0.7555766278334688,1.0075090108129756,22372,16733,5413,9988,10063,10063
40,250.0,0.8866997058705024,1.0840653413468948,25060,22007,2812,12978,14069,14069
50,250.0,0.9196128260707078,1.0823042475234088,26967,24607,2151,14738,15951,15951
100,250.0,0.9953115291193583,1.1099756234764673,35557,35240,166,21332,23678,23678
1,200.0,0.05784844384303112,0.0,18094,1026,16710,614,0,0
2,200.0,0.09915349887133183,0.2739463601532567,18029,1757,15963,1044,286,286
3,200.0,0.13184038640979198,0.4191988950276243,18501,2402,15817,1448,607,607
4,200.0,0.18318467129170796,0.5523373983739838,18473,3327,14835,1968,1087,1087
5,200.0,0.20975688992365585,0.623398804440649,18745,3874,14595,2342,1460,1460
6,200.0,0.24821154151873245,0.68496079828938,19181,4684,14187,2806,1922,1922
7,200.0,0.2653279785809906,0.7374581939799331,18976,4955,13720,2990,2205,2205
8,200.0,0.2943012857823165,0.7433679354094579,19195,5562,13337,3468,2578,2578
9,200.0,0.3424464927355101,0.7908137793310035,19475,6576,12627,4006,3168,3168
10,200.0,0.34683609958506223,0.839294710327456,19563,6687,12593,3970,3332,3332
11,200.0,0.3772890025575448,0.8438893844781445,19831,7376,12174,4484,3784,3784
12,200.0,0.41722183553743664,0.923315419594874,20415,8392,11722,4838,4467,4467
13,200.0,0.432762715218682,0.8794794417201056,20461,8747,11465,5302,4663,4663
14,200.0,0.46556147621866983,0.9206093189964157,20513,9436,10832,5580,5137,5137
15,200.0,0.502109090909091,0.9202572347266881,20857,10356,10269,6220,5724,5724
16,200.0,0.5192820761581373,0.9450360162856248,20863,10705,9910,6386,6035,6035
17,200.0,0.5302626570232204,0.9415370813397129,21236,11144,9872,6688,6297,6297
18,200.0,0.5394455276047363,0.9367364746945899,21280,11344,9685,6876,6441,6441
19,200.0,0.5572682001422813,0.9647326507394767,21355,11750,9335,7032,6784,6784
20,200.0,0.5908430573129012,1.0173029387530899,21562,12608,8731,7282,7408,7408
25,200.0,0.6870662460567823,0.9983638743455497,22407,15246,6944,9168,9153,9153
40,200.0,0.8315018315018315,1.0722007099064215,25289,20884,4232,12396,13291,13291
50,200.0,0.8887773315484159,1.0572392891582862,27053,23901,2991,14518,15349,15349
100,200.0,0.9893198739577814,1.1406769991442427,36022,35478,383,21034,23993,23993
1,120.0,0.03441584384452942,0.0,17721,603,16918,380,0,0
2,120.0,0.06165950560794599,0.27936507936507937,18111,1105,16816,630,176,176
3,120.0,0.08386493620765507,0.43004587155963303,18349,1525,16659,872,375,375
4,120.0,0.11112926948847851,0.5640809443507588,18587,2040,16317,1186,669,669
5,120.0,0.1308965442881018,0.6425531914893617,18748,2428,16121,1410,906,906
6,120.0,0.15169778830113545,0.7049878345498783,18772,2819,15764,1644,1159,1159
7,120.0,0.16449630169809354,0.7629083245521602,19366,3158,16040,1898,1448,1448
8,120.0,0.1929000261028452,0.7838447653429603,19315,3695,15460,2216,1737,1737
9,120.0,0.21602643535729038,0.7799061767005473,19535,4184,15184,2558,1995,1995
10,120.0,0.23196425851652536,0.8739495798319328,19880,4569,15128,2618,2288,2288
11,120.0,0.24250983556945424,0.8651567944250871,19987,4808,15018,2870,2483,2483
12,120.0,0.27178016004831645,0.8406398104265402,20035,5400,14469,3376,2838,2838
13,120.0,0.26426094386088356,0.9052933673469388,20076,5258,14639,3136,2839,2839
14,120.0,0.3168065586570369,0.9431757833244823,20662,6492,14000,3766,3552,3552
15,120.0,0.3338374475558591,0.945679012345679,20661,6843,13655,4050,3830,3830
16,120.0,0.3447940475611535,0.9232730644413537,20735,7090,13473,4314,3983,3983
17,120.0,0.333909785271653,0.9740777666999003,20967,6951,13866,4012,3908,3908
18,120.0,0.36467532467532465,0.9719051799824407,21330,7722,13453,4556,4428,4428
19,120.0,0.3901673149927356,0.9807534807534808,21487,8325,13012,4884,4790,4790
20,120.0,0.4020759613116301,0.9737974188502151,21370,8522,12673,5114,4980,4980
25,120.0,0.4903457765546629,1.0083535844471445,22660,11047,11482,6584,6639,6639
40,120.0,0.6781568207932168,1.0549205734211546,25344,17116,8123,10324,10891,10891
50,120.0,0.7313311388097792,1.063169344042838,27155,19773,7264,11952,12707,12707
100,120.0,0.9381247556821355,1.124589674723963,35902,33598,2216,20106,22611,22611
1,60.0,0.015745825395046507,0.0,17934,281,17565,170,0,0
2,60.0,0.030401141414695715,0.2668711656441718,18301,554,17669,326,87,87
3,60.0,0.041702914310569814,0.4354166666666667,18472,767,17625,480,209,209
4,60.0,0.060462137787502,0.5746268656716418,18845,1133,17606,670,385,385
5,60.0,0.06536998338959439,0.6411290322580645,18764,1220,17443,744,477,477
6,60.0,0.07786798819063687,0.7160919540229885,19080,1477,17491,870,623,623
7,60.0,0.08571727420114011,0.757172131147541,19215,1639,17482,976,739,739
8,60.0,0.1017545675689664,0.7687713310580204,19399,1966,17355,1172,901,901
9,60.0,0.10949425053424239,0.8249211356466877,19751,2152,17502,1268,1046,1046
10,60.0,0.11634935025687519,0.8905547226386806,19953,2310,17544,1334,1188,1188
11,60.0,0.12117876619802871,0.8584254143646409,20083,2422,17565,1448,1243,1243
12,60.0,0.13387201356676143,0.9379042690815006,20139,2684,17365,1546,1450,1450
13,60.0,0.15041034568515294,0.8732317736670294,20192,3024,17081,1838,1605,1605
14,60.0,0.16135075178703476,0.8818458417849898,20367,3273,17012,1972,1739,1739
15,60.0,0.16974043715846995,0.9657057654075547,20596,3479,17017,2012,1943,1943
16,60.0,0.17895348274359843,0.8947368421052632,20744,3697,16962,2280,2040,2040
17,60.0,0.17744863831820354,0.9724770642201835,21023,3714,17216,2180,2120,2120
18,60.0,0.19979876383498635,0.9151162790697674,20936,4170,16701,2580,2361,2361
19,60.0,0.2018970189701897,0.920377358490566,21480,4321,17081,2650,2439,2439
20,60.0,0.21393614542064787,0.9781181619256017,21531,4590,16865,2742,2682,2682
25,60.0,0.2687839232045934,1.0184667039731394,22374,5992,16301,3574,3640,3640
40,60.0,0.3935361216730038,1.041043536058491,25303,9936,15312,6018,6265,6265
50,60.0,0.4772769568615774,1.0493101686254471,26896,12823,14044,7828,8214,8214
100,60.0,0.7308312931226352,1.1124841571609632,35971,26269,9675,15780,17555,17555
